Gene	count_L05_mRNA	count_L02_mRNA	count_L11_mRNA	count_L04_mRNA	count_L10_mRNA	count_L03_mRNA	count_L06_mRNA	count_L12_mRNA	count_L01_mRNA
PH02Gene00001	4	0	2	6	3	4	10	0	0
PH02Gene00002	1	0	8	6	0	0	8	4	0
PH02Gene00003	4	0	0	1	0	0	8	6	2
PH02Gene00004	0	6	8	8	5	4	7	4	0
PH02Gene00005	3	3	4	14	9	6	2	0	4
PH02Gene00006	1	4	7	4	3	1	6	4	0
PH02Gene00007	19	4	30	18	19	16	24	3	6
PH02Gene00008	45	4	35	23	6	18	18	28	16
PH02Gene00009	0	0	0	0	1	0	7	0	0
PH02Gene00010	14	26	30	3	21	32	10	19	6
PH02Gene00011	0	0	2	0	0	8	6	4	0
PH02Gene00012	0	0	3	0	0	0	12	6	0
PH02Gene00013	0	13	8	2	8	5	24	2	2
PH02Gene00014	10	0	17	0	10	0	2	16	0
PH02Gene00015	4	0	4	2	2	0	0	4	2
PH02Gene00016	4	0	10	2	1	2	26	12	4
PH02Gene00017	8	10	5	0	9	4	8	6	0
PH02Gene00018	21	2	12	16	6	4	18	4	0
PH02Gene00019	13	3	21	5	2	0	1	7	2
PH02Gene00020	2	4	15	2	8	4	2	17	2
PH02Gene00021	269	0	12	138	6	6	45	0	0
PH02Gene00022	5	4	11	7	16	14	9	9	0
PH02Gene00023	21	1	29	19	27	28	30	12	10
PH02Gene00024	3	73	8	4	2	13	26	10	10
PH02Gene00025	20	101	3	21	7	45	16	3	53
PH02Gene00026	101	29	28	56	23	12	124	23	10
PH02Gene00027	1	0	2	0	0	0	1	0	0
PH02Gene00028	5	0	5	12	4	4	3	7	1
PH02Gene00029	10	0	19	2	3	2	3	2	1
PH02Gene00030	1	0	0	0	2	0	6	0	4
PH02Gene00031	6	4	5	14	10	4	10	5	0
PH02Gene00032	3	0	6	20	18	1	10	8	0
PH02Gene00033	1006	12	1	1486	2	5	1425	6	3
PH02Gene00034	1	0	2	4	4	2	15	0	6
PH02Gene00035	0	10	0	2	2	4	7	2	6
PH02Gene00036	4	4	4	0	0	12	6	7	0
PH02Gene00037	17	2	16	4	16	10	6	12	3
PH02Gene00038	23	2	18	11	12	4	15	7	10
PH02Gene00039	4	0	6	0	0	3	5	1	2
PH02Gene00040	1	4	9	0	0	1	0	1	0
PH02Gene00041	1	0	2	0	2	0	4	0	0
PH02Gene00042	0	0	7	4	8	0	5	1	0
PH02Gene00043	3	2	0	8	8	0	0	3	0
PH02Gene00044	0	0	1	0	0	0	0	0	0
PH02Gene00045	10	0	6	17	12	0	10	3	0
