			
Gene Symbol	log2(fpkm control)	log2(fpkm case)	p_value
TSPAN6	-0.96194877567856	-4.32440299578393	1
DPM1	3.65324349606207	3.08565919410962	0.53925
SCYL3	2.64855287644093	3.10606182931969	0.619
C1orf112	1.16378209097981	-0.971309213937216	1
FGR	8.60350024273642	8.32718434495514	0.74555
CFH	0.1840009336804	0.915658566871299	1
FUCA2	3.43092751740487	4.21431912080077	0.3097
GCLC	4.15689005170635	4.10154082780894	0.90465
NFYA	3.87878418576096	3.31036629830886	0.50065
STPG1	-1.24593346455692	0.088155168724662	1
NIPAL3	2.86813359985176	2.4824017269483	0.45525
LAS1L	2.96367571727345	3.1372903826024	0.77915
ENPP4	2.75259232665676	2.10907968297172	0.4353
ANKIB1	3.18027996421028	3.9117586824068	0.34905
CYP51A1	4.98162892690227	4.8877689486479	0.86635
KRIT1	4.98162892690227	4.8877689486479	0.86635
RAD52	3.42536530630776	1.91209413827384	0.00525
BAD	2.61306718122516	2.42274431315684	1
LAP3	6.32270513754357	6.34406505824081	0.97825
CD99	6.78086124186047	6.8923910259134	0.8819
HS3ST1	-1.48067952358111	-2.73085192142256	1
AOC1	0.200089978945991	1.32799771139969	1
WNT16	-1.35339860902351	-0.097514225852573	1
MAD1L1	5.19422497801438	6.29227377226838	0.06845
LASP1	6.39144467184798	5.77733291447922	0.38555
SNX11	4.5963388642052	4.60984359159946	0.97945
TMEM176A	4.13842950231487	3.08166515163249	0.3113
M6PR	6.96405201104085	7.46014459282329	0.6553
KLHL13	-2.31454598828292	-3.65532600460245	1
CYP26B1	-6.00131171738786	-2.95476953485612	1
ICA1	1.64750332559193	2.08637616759694	1
DBNDD1	0.827168649292031	1.45205241111251	1
ALS2	2.69562641342856	3.35109117571229	0.2526
CASP10	4.62601853270775	3.81068987305284	0.1449
CFLAR	7.52551297897862	7.17574414229081	0.6456
TFPI	0.646568214090575	0.827745872028264	1
NDUFAF7	3.46978180680686	3.10211722927544	0.58025
RBM5	8.73446576383612	8.58849727813838	0.8118
MTMR7	-0.185525045715377	1.3770126615002	1
ARF5	7.23544944451337	6.29682629367115	0.35905
SARM1	4.78578592512969	4.9531022397283	0.8157
POLDIP2	4.05221589242734	3.93945227507295	0.89555
PLXND1	5.62676326860195	5.13397855320592	0.46475
AK2	7.24278349831135	9.26430888083084	0.0279
CD38	3.54436173549328	3.06889089514684	0.48975
FKBP4	5.46128298181881	4.4644983744323	0.27685
KDM1A	4.55517808760328	4.05706896905575	0.5013
RBM6	8.73446576383612	8.58849727813838	0.8118
CAMKK1	2.95496864354447	2.32683644050835	0.3633
RECQL	3.87033512553545	3.99524028023538	0.83385
VPS50	3.51089864179142	3.61143208899807	0.83425
ARHGAP33	2.68093191635457	1.0112093614203	1
NDUFAB1	5.33310524654305	6.15137380593041	0.4399
PDK4	2.65646891217881	2.53588623446236	1
SLC22A16	0.789044773810175	0.672914078204122	1
ZMYND10	0.659166487825936	1.39165775425291	1
ABCB5	-4.48974613681332	-2.17677890949758	1
SLC25A13	3.06560505274835	2.16251620585485	0.30885
ST7	2.23563822874623	3.08415613159488	0.0291
CDC27	4.56652902155834	5.49109628446021	0.1545
SLC4A1	9.07473019772941	7.8218377460881	0.18245
HCCS	3.03213082551525	2.47714625589283	0.5456
DVL2	4.11885803752587	5.23374237251573	0.15495
UPF1	5.97983786570398	4.93065692281132	0.13155
SKAP2	5.1318446166412	5.21075510288902	0.9103
SLC25A5	7.89462377446257	6.70671011849347	0.11385
MCUB	6.0559613186755	6.01297085583365	0.957
POLR2J	4.62600684751301	3.11459357359017	0.3181
DHX33	5.88575249399996	4.79850161055081	0.22525
MEOX1	-0.198316521927855	-3.22732717407369	1
THSD7A	-4.2529601781031	-1.18404099640639	1
LIG3	4.38785190425574	4.30416054700136	0.89915
RPAP3	3.98730267293887	4.57483417717931	0.4541
ACSM3	3.25540706823092	3.06284529625153	0.75455
REXO5	1.72188008387668	2.26227378484972	1
CIAPIN1	4.93212260555534	4.3343823493767	0.3038
SPPL2B	10.4791638550704	10.0690066194644	0.7324
FAM214B	5.49554807185495	3.9035974953528	0.05805
COPZ2	3.57149479322772	1.80931565431729	1
PRKAR2B	3.80024762845357	3.64776348282782	0.8068
MSL3	6.30152546013188	5.71067971888052	0.3493
CREBBP	5.84752595006188	5.64034038957851	0.73655
TSPOAP1	4.20206503709629	3.82794093735693	0.6639
MPO	6.85958448008148	3.34610590918853	0.0006
GCFC2	3.35446626585907	2.88810613098458	0.5021
WDR54	4.14894223694446	3.45939227187236	0.327
CROT	2.85974100404563	3.47257874936245	0.40375
ABCB4	1.63684499531567	0.705208259071103	1
KMT2E	5.87557366822478	5.30709331467699	0.54685
RHBDD2	6.11416085143168	6.3358172935151	0.7556
SOX8	-1.84308568534676	-5.07117991051877	1
IBTK	3.82362709283577	4.7400910510925	0.2641
ZNF195	3.47739238658368	2.87153418482737	0.1368
MYCBP2	5.2118921871412	5.23290246469982	0.981
FBXL3	5.61796841867557	6.16998511248338	0.64905
ITGAL	8.65649279527388	8.21113390600791	0.54385
PDK2	4.67551110424416	3.95223104563764	0.36655
ITGA3	1.95424098670283	1.52550765447516	1
ZFX	3.45292483969571	3.23428670907804	0.71195
LAMP2	7.03857884618437	6.97229057308727	0.9275
ITGA2B	4.32851337233723	3.37001079418006	0.12965
GDE1	4.85434480496627	4.9031443467308	0.9405
REX1BD	2.13349776785961	3.08661224912122	0.6404
CRLF1	-0.187889557487871	1.55692964284965	1
OSBPL7	3.92504046703289	1.45558104653761	0.00165
YBX2	-2.65040825744325	-5.10331801515567	1
MAP3K14	4.69436206641648	3.12503111209151	0.15455
TMEM132A	-1.48544644795622	-3.75040854603334	1
AP2B1	6.06790111070505	5.41749474965391	0.54435
ZNF263	3.95732960367698	3.58194170324076	0.57645
SPATA20	3.8189323440105	3.27174537631258	0.15315
TNFRSF12A	2.37848110438199	2.35711561134292	1
MAP3K9	-0.926031735287088	-2.10654769642352	1
RALA	4.54698086470366	4.59602273681848	0.9411
BAIAP2L1	-0.321226754923194	1.39022193288146	1
KDM7A	3.61665175848053	3.78285933669823	0.78375
AGK	3.53389968867811	3.5329652159336	0.99875
ALDH3B1	5.30630599245221	4.7718750170196	0.5145
TTC22	1.9725860560377	1.49957804701013	1
PHTF2	3.93942406483571	4.2869254922411	0.6622
FARP2	3.06992724798775	2.22296526362439	0.0841
GGCT	6.23052967362841	6.30741395244147	0.8758
DBF4	2.82224474980268	2.43852707087477	0.65195
TBXA2R	0.809175690351661	-1.16513671670237	1
IFRD1	6.14096675001694	5.49685217993936	0.30535
COX10	1.99078426750156	2.14199511003793	1
PAF1	4.44735437778899	4.86915086554907	0.66945
VPS41	5.8851350466313	6.29711252848998	0.55965
ARHGAP44	-1.92695306655926	-1.26064612659471	1
ELAC2	5.13270432719192	3.74755926670964	0.0166
SCIN	-2.45144895069664	-3.55793191181862	1
ARSD	2.3073556599663	3.10774979341057	0.2337
PNPLA4	0.900080415442423	-1.35486649428007	1
ADIPOR2	3.86327442010487	4.34076164054669	0.39345
CDKL3	9.15779912790785	9.40420063842701	0.78035
PRSS21	0.673909140158857	-0.433948641665985	1
MARK4	5.07510472220949	4.34503437874435	0.1899
PROM1	5.45221652595719	4.70674050436717	0.425
CCDC124	3.8189323440105	2.76219571386859	0.37365
CEACAM21	5.37010846920765	6.1799449082058	0.371
PAFAH1B1	6.47216767860985	6.33593159878561	0.84395
NOS2	2.51227240465782	2.44352178456533	1
KIAA0100	6.16569491555968	6.37295209791183	0.8147
GAS7	4.9161039797101	3.80847772616168	0.03925
TRAPPC6A	3.62490801640197	-1.46729804085107	0.0015
MATK	5.63898030645825	5.0911708900279	0.4412
CEACAM7	-5.17034459817253	-5.54785752773117	1
CD79B	7.08032722105564	6.54447456721917	0.4046
SCN4A	-2.36248434462694	-6.45526536608067	1
ST7L	2.77948246453727	3.86082378406813	0.1584
TKTL1	2.79145152895301	2.12482438967919	1
PAX6	-1.30627710100601	-3.49484564232783	1
RPUSD1	3.32473861085374	1.86504778922595	0.1113
RHBDF1	-1.87065630869949	-0.053216747216821	1
LUC7L	4.989506902202	4.71415757928834	0.6242
CACNA2D2	1.34903684024172	-0.948232560034202	1
BAIAP3	2.42602316693385	3.58724496139765	0.063
TSR3	4.3391231289693	2.93911559691805	0.27035
PIGQ	4.33133976771849	2.08298864780375	0.03715
CRAMP1	4.82764121673657	3.94451178262547	0.0581
TEAD3	-2.35697504198656	-5.1242589334662	1
DNAJC11	3.86073441098641	3.60703434594862	0.6668
MYLIP	5.06870949982263	4.47656314722924	0.37555
E2F2	3.3101510453647	3.60453395595297	0.5982
PSMB1	6.93050081079116	5.21713763611864	0.09785
SYN1	8.55196198447236	7.63311874759903	0.361
JARID2	3.87435435351879	4.8047815396462	0.3363
CDKL5	0.313849509317742	0.344794417184507	1
CDK11A	6.18685904753961	3.92439447707853	0.0002
NADK	7.28435681109114	7.77262469115174	0.52595
DLEC1	0.689147054435925	-0.512923261309561	1
CYTH3	2.71810950925046	1.76548382681589	1
ADAM22	-0.040747676085434	0.829256938915691	1
