ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
212171_x_at	0.791	9.16E-05	-4.60115952	-1.2	-0.3470	VEGFA	vascular endothelial growth factor A
236104_at	0.791	0.0001869	4.33332964	-1.48	0.3180	HNRNPLL	heterogeneous nuclear ribonucleoprotein L like
215411_s_at	0.791	0.0001897	4.32779495	-1.49	0.3700	TRAF3IP2	TRAF3 interacting protein 2
209772_s_at	0.791	0.0001954	4.31661984	-1.5	0.4620	CD24	CD24 molecule
228056_s_at	0.791	0.0002543	4.21743143	-1.61	0.3430	NAPSB	napsin B aspartic peptidase, pseudogene
218175_at	0.791	0.0002612	4.20720596	-1.62	0.3870	CCDC92	coiled-coil domain containing 92
212655_at	0.791	0.0002706	4.1939579	-1.64	0.3900	ZCCHC14	zinc finger CCHC-type containing 14
202005_at	0.791	0.0002924	4.1646513	-1.67	0.6130	ST14	suppression of tumorigenicity 14
229114_at	0.791	0.000396	-4.04980049	-1.79	-0.9340	GAB1	GRB2 associated binding protein 1
1554474_a_at	0.791	0.0004291	-4.01935437	-1.83	-0.9500	MOXD1	monooxygenase DBH like 1
224958_at	0.791	0.000483	3.97436433	-1.88	0.2640	NUFIP2	NUFIP2, FMR1 interacting protein 2
242448_at	0.791	0.0004865	-3.97165217	-1.88	-0.3920		
204115_at	0.791	0.0004954	3.96479076	-1.89	0.5840	GNG11	G protein subunit gamma 11
209606_at	0.791	0.0005006	-3.96079198	-1.89	-0.4500	CYTIP	cytohesin 1 interacting protein
211881_x_at	0.791	0.0005034	-3.95866532	-1.89	-0.7330	IGLJ3	immunoglobulin lambda joining 3
205987_at	0.791	0.0005281	3.9404483	-1.91	1.0700	CD1C	CD1c molecule
222450_at	0.791	0.0006012	3.89100039	-1.97	0.8000	PMEPA1	prostate transmembrane protein, androgen induced 1
228984_at	0.791	0.0006111	3.88476921	-1.97	0.5160	CARNS1	carnosine synthase 1
202975_s_at	0.791	0.0007008	3.83237574	-2.03	0.5510	RHOBTB3	Rho related BTB domain containing 3
209708_at	0.791	0.0007088	-3.82800711	-2.04	-0.7180	MOXD1	monooxygenase DBH like 1
227030_at	0.791	0.0007292	3.81714806	-2.05	0.2870	IKZF3	IKAROS family zinc finger 3
227404_s_at	0.791	0.0007385	3.81228081	-2.05	1.2200	EGR1	early growth response 1
