ID,Fold_(T1D-B1 vs C1),pValue
213831_at,-6.634,0.000
236203_at,-4.922,0.000
209480_at,-6.316,0.000
206371_at,2.695,0.000
222413_s_at,-2.321,0.000
236816_at,-2.060,0.000
216207_x_at,1.739,0.000
221830_at,-2.567,0.000
216853_x_at,1.922,0.000
229026_at,-1.899,0.000
238893_at,-1.653,0.000
206061_s_at,-1.629,0.000
241843_at,-2.707,0.000
1558080_s_at,-1.514,0.000
216401_x_at,2.251,0.000
229121_at,-2.076,0.000
224559_at,-1.647,0.000
1559025_at,-1.911,0.000
217157_x_at,2.064,0.000
227803_at,-1.918,0.000
211643_x_at,2.229,0.001
1555938_x_at,-1.556,0.001
203628_at,-2.093,0.001
219757_s_at,-1.464,0.001
215176_x_at,2.321,0.001
230265_at,-1.433,0.001
201280_s_at,-1.462,0.001
212852_s_at,-1.547,0.001
234764_x_at,2.598,0.001
215949_x_at,1.552,0.001
228129_at,-1.393,0.001
204256_at,-1.495,0.001
222798_at,-1.459,0.001
221588_x_at,-1.401,0.001
201278_at,-1.421,0.001
210438_x_at,-1.419,0.001
214153_at,-1.360,0.001
217378_x_at,2.280,0.001
209160_at,-2.382,0.001
211654_x_at,-2.157,0.001
208727_s_at,-2.539,0.001
220521_s_at,-1.705,0.001
217022_s_at,1.914,0.001
217480_x_at,2.104,0.001
228582_x_at,-1.410,0.001
213229_at,-1.328,0.001
243963_at,-1.332,0.001
1568619_s_at,-1.352,0.001
211798_x_at,2.346,0.001
221829_s_at,-1.105,0.001
236769_at,-1.104,0.001
227383_at,-1.584,0.001
217227_x_at,2.275,0.001
243623_at,-1.875,0.001
1565823_at,-2.353,0.001
206343_s_at,-1.246,0.001
225420_at,-1.104,0.001
203300_x_at,-1.071,0.001
211908_x_at,1.494,0.001
236862_at,-2.324,0.001
202464_s_at,1.208,0.002
219865_at,1.109,0.002
212423_at,-1.651,0.002
202062_s_at,-1.111,0.002
202435_s_at,-1.682,0.002
235727_at,-1.145,0.002
1554021_a_at,-1.514,0.002
221297_at,2.188,0.002
211644_x_at,2.388,0.002
216510_x_at,2.993,0.002
209616_s_at,-1.871,0.002
206026_s_at,4.370,0.002
207796_x_at,-1.673,0.002
227195_at,-1.727,0.002
222162_s_at,-1.211,0.002
223139_s_at,-1.591,0.002
219571_s_at,-1.428,0.002
220085_at,-1.273,0.002
1559964_at,-1.498,0.002
222088_s_at,1.277,0.002
229215_at,-1.199,0.002
232940_s_at,-1.267,0.002
239629_at,-1.766,0.002
222024_s_at,-1.613,0.002
224901_at,-1.879,0.002
222023_at,-1.584,0.002
207657_x_at,-1.091,0.002
219871_at,-1.302,0.002
238635_at,-1.527,0.002
