Synonym	Start	Stop	Strand	Name	Synonym	Product	CS1	CS2	CS3	CS4	CS5	CS6	CS7	CS8	CS9	CS10	CS11	CS12	CS13	CS14	CS15	CS16	CS17	CS18	CS19	CS20	CS21	CS22	CS23	CS24	CS25	CS26	Entry	Entry name	Protein names	Gene names	Pathway	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Cross-reference (GeneID)	EC number	Cross-reference (STRING)	Cross-reference (KEGG)	Cross-reference (UniPathway)
b0001	190	255	+	thrL	b0001	thr operon leader peptide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P0AD86	LPT_ECOLI	thr operon leader peptide (thr operon attenuator)	thrL b0001 JW4367		threonine biosynthetic process [GO:0009088]; transcriptional attenuation [GO:0031555]; transcriptional attenuation by ribosome [GO:0031556]			52075327;944742;		511145.b0001;	ecj:JW4367;eco:b0001;	
b0002	337	2799	+	thrA	b0002	Bifunctional aspartokinase/homoserine dehydrogenase 1	0	5	0	0	109	0	0	29	31	1	0	0	13	0	44	0	18	24	30	0	21	0	0	0	0	0	P00561	AK1H_ECOLI	Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	thrA thrA1 thrA2 b0002 JW0001	PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 1/4.; PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 1/3.; PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 3/3.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 1/5.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 3/5.	homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]		aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]; homoserine dehydrogenase activity [GO:0004412]; NADP binding [GO:0050661]	49586186;945803;	2.7.2.4; 1.1.1.3	511145.b0002;	ecj:JW0001;eco:b0002;	UPA00034;UER00015, UPA00050;UER00063, UPA00050;UER00461, UPA00051;UER00462, UPA00051;UER00465
b0003	2801	3733	+	thrB	b0003	homoserine kinase	0	35	0	0	93	0	0	4	53	20	0	0	87	0	102	0	0	62	0	0	0	0	0	0	0	0	P00547	KHSE_ECOLI	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	thrB b0003 JW0002	PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 4/5.	threonine biosynthetic process [GO:0009088]	cytosol [GO:0005829]	ATP binding [GO:0005524]; homoserine kinase activity [GO:0004413]	947498;	2.7.1.39	511145.b0003;	ecj:JW0002;eco:b0003;	UPA00050;UER00064
b0004	3734	5020	+	thrC	b0004	L-threonine synthase	0	0	0	0	6	0	0	22	31	0	0	31	0	34	23	0	29	0	0	0	0	0	0	0	0	0	P00934	THRC_ECOLI	Threonine synthase (TS) (EC 4.2.3.1)	thrC b0004 JW0003	PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 5/5.	threonine biosynthetic process [GO:0009088]	cytosol [GO:0005829]	pyridoxal phosphate binding [GO:0030170]; threonine synthase activity [GO:0004795]	945198;	4.2.3.1	511145.b0004;	ecj:JW0003;eco:b0004;	UPA00050;UER00065
b0005	5234	5530	+	yaaX	b0005	DUF2502 family putative periplasmic protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	P75616	YAAX_ECOLI	Uncharacterized protein YaaX	yaaX b0005 JW0004					944747;		511145.b0005;	ecj:JW0004;eco:b0005;	
b0006	6459	5683	-	yaaA	b0006	peroxide resistance protein, lowers intracellular iron	0	0	0	0	0	0	0	0	0	0	36	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	P0A8I3	YAAA_ECOLI	Peroxide stress resistance protein YaaA (UPF0246 protein YaaA)	yaaA b0006 JW0005		response to hydroperoxide [GO:0033194]	cytosol [GO:0005829]		48107530;944749;		511145.b0006;	ecj:JW0005;eco:b0006;	
b0007	7959	6529	-	yaaJ	b0007	putative transporter	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P30143	YAAJ_ECOLI	Uncharacterized transporter YaaJ	yaaJ b0007 JW0006			integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	alanine:sodium symporter activity [GO:0015655]	944745;		511145.b0007;	ecj:JW0006;eco:b0007;	
b0008	8238	9191	+	talB	b0008	transaldolase B	39	91	46	0	140	0	259	138	145	133	148	280	338	155	98	47	236	57	408	128	28	0	168	116	18	65	P0A870	TALB_ECOLI	Transaldolase B (EC 2.2.1.2)	talB yaaK b0008 JW0007	PATHWAY: Carbohydrate degradation; pentose phosphate pathway; D-glyceraldehyde 3-phosphate and beta-D-fructose 6-phosphate from D-ribose 5-phosphate and D-xylulose 5-phosphate (non-oxidative stage): step 2/3.	carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]	cytosol [GO:0005829]; membrane [GO:0016020]	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity [GO:0004801]; transferase activity, transferring aldehyde or ketonic groups [GO:0016744]	48107528;944748;	2.2.1.2	511145.b0008;	ecj:JW0007;eco:b0008;	UPA00115;UER00414
b0009	9306	9893	+	mog	b0009	molybdochelatase incorporating molybdenum into molybdopterin	0	0	0	0	69	0	0	13	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P0AF03	MOG_ECOLI	Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75)	mog chlG mogA yaaG b0009 JW0008	PATHWAY: Cofactor biosynthesis; molybdopterin biosynthesis.	molybdopterin cofactor biosynthetic process [GO:0032324]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	cytosol [GO:0005829]	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; molybdopterin adenylyltransferase activity [GO:0061598]	48107527;944760;	2.7.7.75	511145.b0009;	ecj:JW0008;eco:b0009;	UPA00344
b0010	10494	9928	-	satP	b0010	succinate-acetate transporter	0	0	0	0	0	0	0	0	89	0	0	0	0	48	11	0	0	0	0	0	0	0	0	0	0	0	P0AC98	SATP_ECOLI	Succinate-acetate/proton symporter SatP (Succinate-acetate transporter protein)	satP yaaH b0010 JW0009		acetate transmembrane transport [GO:0035433]; succinate transmembrane transport [GO:0071422]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	acetate:proton symporter activity [GO:0015360]	52075336;944792;		511145.b0010;	ecj:JW0009;eco:b0010;	
b0011	11356	10643	-	yaaW	b0011	UPF0174 family protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P75617	YAAW_ECOLI	UPF0174 protein YaaW	yaaW b0011 JW0010					944771;		511145.b0011;	ecj:JW0010;eco:b0011;	
b0013	11786	11382	-	yaaI	b0013	UPF0412 family protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P28696	YAAI_ECOLI	UPF0412 protein YaaI	yaaI b0013 JW0012					944751;		511145.b0013;	ecj:JW0012;eco:b0013;	
b0014	12163	14079	+	dnaK	b0014	chaperone Hsp70, with co-chaperone DnaJ	482	298	171	224	461	51	123	197	339	323	16	14	244	94	900	44	357	114	622	136	298	0	44	27	37	246	P0A6Y8	DNAK_ECOLI	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK groP grpF seg b0014 JW0013		cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; DNA replication [GO:0006260]; protein-containing complex assembly [GO:0065003]; protein-containing complex disassembly [GO:0032984]; response to heat [GO:0009408]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; inclusion body [GO:0016234]; membrane [GO:0016020]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]	ADP binding [GO:0043531]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]; chaperone binding [GO:0051087]; protein folding chaperone [GO:0044183]; sigma factor antagonist activity [GO:0016989]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270]	52075339;944750;		511145.b0014;	ecj:JW0013;eco:b0014;	
b0015	14168	15298	+	dnaJ	b0015	chaperone Hsp40, DnaK co-chaperone	80	73	0	3	4	0	0	0	25	41	0	0	27	0	188	0	55	0	55	51	0	0	0	22	0	137	P08622	DNAJ_ECOLI	Chaperone protein DnaJ (HSP40) (Heat shock protein J)	dnaJ groP b0015 JW0014		chaperone cofactor-dependent protein refolding [GO:0051085]; DNA replication [GO:0006260]; protein-containing complex assembly [GO:0065003]; protein folding [GO:0006457]; protein refolding [GO:0042026]; response to heat [GO:0009408]; viral process [GO:0016032]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; protein-containing complex [GO:0032991]	ATP binding [GO:0005524]; chaperone binding [GO:0051087]; heat shock protein binding [GO:0031072]; protein disulfide isomerase activity [GO:0003756]; protein disulfide oxidoreductase activity [GO:0015035]; sigma factor antagonist activity [GO:0016989]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270]	944753;		511145.b0015;	ecj:JW0014;eco:b0015;	
b0016	15445	16557	+	insL1	b0016	IS186 transposase	23	0	0	33	0	0	0	34	15	52	25	21	73	38	22	0	0	36	62	27	0	0	0	0	0	64	P0CF91	INSL1_ECOLI	Putative transposase InsL for insertion sequence element IS186A	insL1 b0016 JW0015		transposition, DNA-mediated [GO:0006313]		DNA binding [GO:0003677]; transposase activity [GO:0004803]	34758144;944754;945200;946896;		511145.b2394;	ecj:JW0015;eco:b0016;eco:b0582;eco:b2394;	
b0018	16960	16751	-	mokC	b0018	regulatory protein for HokC, overlaps CDS of hokC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P33236	MOKC_ECOLI	Regulatory protein MokC	mokC gefL b0018 JW5879			integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		48132697;944756;		511145.b0018;	ecj:JW5879;eco:b0018;	
